BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS712156	ES997600
BS712157	ES997601
BS712157	ES997602
BS712157	ES997603
BS712157	ES997604
BS712158	ES997605
BS712158	ES997606
BS712158	ES997607
BS712158	ES997608
BS712159	ES997609
BS712159	ES997610
BS712159	ES997611
BS712159	ES997612
BS712160	ES997613
BS712160	ES997614
BS712160	ES997615
BS712160	ES997616
BS712161	ES997617
BS712161	ES997618
BS712161	ES997619
BS712161	ES997620
BS712162	ES997621
BS712162	ES997622
BS712162	ES997623
BS712162	ES997624
BS712163	ES997625
BS712163	ES997626
BS712163	ES997627
BS712163	ES997628
BS712164	ES997629
BS712164	ES997630
BS712164	ES997631
BS712164	ES997632
BS712165	ES997633
BS712165	ES997634
BS712165	ES997635
BS712165	ES997636
BS712166	ES997637
BS712166	ES997638
BS712166	ES997639
BS712166	ES997640
BS712167	ES997641
BS712167	ES997642
BS712167	ES997643
BS712167	ES997644
BS712168	ES997645
BS712168	ES997646
BS712168	ES997647
BS712168	ES997648
BS712169	ES997649
BS712169	ES997650
BS712169	ES997651
BS712169	ES997652
BS712170	ES997653
BS712170	ES997654
BS712170	ES997655
BS712170	ES997656
BS712171	ES997657
BS712171	ES997658
BS712171	ES997659
BS712171	ES997660
BS712172	ES997661
BS712172	ES997662
BS712172	ES997663
BS712172	ES997664
BS712173	ES997665
BS712173	ES997666
BS712173	ES997667
BS712173	ES997668
BS712174	ES997669
BS712174	ES997670
BS712174	ES997671
BS712174	ES997672
BS712175	ES997673
BS712175	ES997674
BS712175	ES997675
BS712175	ES997676
BS712176	ES997677
BS712176	ES997678
BS712176	ES997679
BS712176	ES997680
BS712177	ES997681
BS712177	ES997682
BS712177	ES997683
BS712177	ES997684
BS712178	ES997685
BS712178	ES997686
BS712178	ES997687
BS712178	ES997688
BS712179	ES997689
BS712179	ES997690
BS712179	ES997691
BS712179	ES997692
BS712180	ES997693
BS712180	ES997694
BS712180	ES997695
BS712180	ES997696
BS712181	ES997697
BS712181	ES997698
BS712181	ES997699
BS712181	ES997700
BS712182	ES997701
BS712182	ES997702
BS712182	ES997703
BS712182	ES997704
BS712183	ES997705
BS712183	ES997706
BS712183	ES997707
BS712183	ES997708
BS712184	ES997709
BS712184	ES997710
BS712184	ES997711
BS712184	ES997712
BS712185	ES997713
BS712185	ES997714
BS712185	ES997715
BS712185	ES997716
BS712186	ES997717
BS712186	ES997718
BS712186	ES997719
BS712186	ES997720
BS712187	ES997721
BS712187	ES997722
BS712187	ES997723
BS712187	ES997724
BS712188	ES997725
BS712188	ES997726
BS712188	ES997727
BS712188	ES997728
BS712189	ES997729
BS712189	ES997730
BS712189	ES997731
BS712189	ES997732
BS712190	ES997733
BS712190	ES997734
BS712190	ES997735
BS712190	ES997736
BS712191	ES997737
BS712191	ES997738
BS712191	ES997739
BS712191	ES997740
BS712192	ES997741
BS712192	ES997742
BS712192	ES997743
BS712192	ES997744
BS712193	ES997745
BS712193	ES997746
BS712193	ES997747
BS712193	ES997748
BS712194	ES997749
BS712194	ES997750
BS712194	ES997751
BS712194	ES997752
BS712195	ES997753
BS712195	ES997754
BS712195	ES997755
BS712195	ES997756
BS712196	ES997757
BS712196	ES997758
BS712196	ES997759
BS712196	ES997760
BS712197	ES997761
BS712197	ES997762
BS712197	ES997763
BS712197	ES997764
BS712198	ES997765
BS712198	ES997766
BS712198	ES997767
BS712198	ES997768
BS712199	ES997769
BS712199	ES997770
BS712199	ES997771
BS712199	ES997772
BS712200	ES997773
BS712200	ES997774
BS712200	ES997775
BS712200	ES997776
BS712201	ES997777
BS712201	ES997778
BS712201	ES997779
BS712201	ES997780
BS712202	ES997781
BS712202	ES997782
BS712202	ES997783
BS712202	ES997784
BS712203	ES997785
BS712203	ES997786
BS712203	ES997787
BS712203	ES997788
BS712204	ES997789
BS712204	ES997790
BS712204	ES997791
BS712204	ES997792
BS712205	ES997793
BS712205	ES997794
BS712205	ES997795
BS712205	ES997796
BS712206	ES997797
BS712206	ES997798
BS712206	ES997799
BS712206	ES997800
BS712207	ES997801
BS712207	ES997802
BS712207	ES997803
BS712207	ES997804
BS712208	ES997805
BS712208	ES997806
BS712208	ES997807
BS712208	ES997808
BS712209	ES997809
BS712209	ES997810
BS712209	ES997811
BS712209	ES997812
BS712210	ES997813
BS712210	ES997814
BS712210	ES997815
BS712210	ES997816
BS712211	ES997817
BS712211	ES997818
BS712211	ES997819
BS712211	ES997820
BS712212	ES997821
BS712212	ES997822
BS712212	ES997823
BS712212	ES997824
BS712213	ES997825
BS712213	ES997826
BS712213	ES997827
BS712213	ES997828
BS712214	ES997829
BS712214	ES997830
BS712214	ES997831
BS712214	ES997832
BS712215	ES997833
BS712215	ES997834
BS712215	ES997835
BS712215	ES997836
BS712216	ES997837
BS712216	ES997838
BS712216	ES997839
BS712216	ES997840
BS712217	ES997841
BS712217	ES997842
BS712217	ES997843
BS712217	ES997844
BS712218	ES997845
BS712218	ES997846
BS712218	ES997847
BS712218	ES997848
BS712219	ES997849
BS712219	ES997850
BS712219	ES997851
BS712219	ES997852
BS712220	ES997853
BS712220	ES997854
BS712220	ES997855
BS712220	ES997856
BS712221	ES997857
BS712221	ES997858
BS712221	ES997859
BS712221	ES997860
BS712222	ES997861
BS712222	ES997862
BS712222	ES997863
BS712222	ES997864
BS712223	ES997865
BS712223	ES997866
BS712223	ES997867
BS712223	ES997868
BS712224	ES997869
BS712224	ES997870
BS712224	ES997871
BS712224	ES997872
BS712225	ES997873
BS712225	ES997874
BS712225	ES997875
BS712225	ES997876
