FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
217648	9		PE-Cy7-A	hCCR7	CCR7
217648	11		Alexa Fluor 700-A	hHLA-DRA	DR
217649	6		PE-A	hCLEC4C	BDCA-2
217649	8		PE-Cy5-A	hCD40	CD40
217649	11		Alexa Fluor 700-A	hHLA-DRA	DR
217649	12		APC-H7-A	hITGAX	CD11c
217649	14		Pacific Orange-A		VIVID
217649	15		Time		Time
217652	10		APC-A	hSECISBP2L	SLAN
217652	13		Pacific Blue-A	hCD86	CD86
217653	6		PE-A	hCLEC4C	BDCA-2
217653	7		ECD-A	hCD2	CD2
217653	9		PE-Cy7-A	hCD1C	CD1c
217653	12		APC-H7-A	hITGAX	CD11c
217653	15		Time		Time
217654	7		ECD-A	hPTPRC/iso:h6	CD45RA
217654	9		PE-Cy7-A	hICOS	ICOS
217654	10		APC-A	hCD8A	CD8
217654	12		APC-H7-A	hCD4	CD4
217656	2		FSC-H		FSC-H
217657	2		FSC-H		FSC-H
217657	3	SSC	SSC-A	SSC	SSC-A
217657	8		PE-Cy5-A	hCD40	CD40
217657	9		PE-Cy7-A	hCD1C	CD1c
217657	11		Alexa Fluor 700-A	hHLA-DRA	DR
217658	3	SSC	SSC-A	SSC	SSC-A
217661	11		Alexa Fluor 700-A	hHLA-DRA	DR
217659	15		Time		Time
217660	6		PE-A	hCD14	CD14
217662	2		FSC-H		FSC-H
217662	5		FITC-A	hCXCR5	CXCR5
217662	10		APC-A	hCD8A	CD8
217663	4	SSC	SSC-H	SSC	SSC-H
217663	8		PE-Cy5-A	hMS4A1	CD20
217663	14		Pacific Orange-A	hCD3E, hCD14, VIVID	VIVID/CD3/CD14
217664	13		Pacific Blue-A	hCD86	CD86
217665	9		PE-Cy7-A	hCD1C	CD1c
217665	10		APC-A	hTHBD	BDCA-3
217666	5		FITC-A	hCXCR5	CXCR5
217666	12		APC-H7-A	hCD4	CD4
217668	4	SSC	SSC-H	SSC	SSC-H
217668	9		PE-Cy7-A	hCCR7	CCR7
217668	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217669	5		FITC-A		LIN-1
217670	2		FSC-H		FSC-H
217671	1		FSC-A		FSC-A
217671	3	SSC	SSC-A	SSC	SSC-A
217671	13		Pacific Blue-A	hCD86	CD86
217672	4	SSC	SSC-H	SSC	SSC-H
217672	10		APC-A	hSECISBP2L	SLAN
217673	3	SSC	SSC-A	SSC	SSC-A
217674	2		FSC-H		FSC-H
217674	4	SSC	SSC-H	SSC	SSC-H
217674	5		FITC-A	hCXCR5	CXCR5
217674	10		APC-A	hCD8A	CD8
217675	10		APC-A	hSDC1	CD138
217676	1		FSC-A		FSC-A
217676	2		FSC-H		FSC-H
217676	4	SSC	SSC-H	SSC	SSC-H
217676	12		APC-H7-A	hFCGR3A	CD16
217677	6		PE-A	hCLEC4C	BDCA-2
217677	8		PE-Cy5-A	hCD40	CD40
217677	11		Alexa Fluor 700-A	hHLA-DRA	DR
217677	12		APC-H7-A	hITGAX	CD11c
217677	15		Time		Time
217678	2		FSC-H		FSC-H
217678	7		ECD-A	hPTPRC/iso:h6	CD45RA
217678	9		PE-Cy7-A	hICOS	ICOS
217679	2		FSC-H		FSC-H
217679	4	SSC	SSC-H	SSC	SSC-H
217679	12		APC-H7-A	hCD27	CD27
217680	6		PE-A	hCD14	CD14
217680	10		APC-A	hSECISBP2L	SLAN
217680	15		Time		Time
217681	4	SSC	SSC-H	SSC	SSC-H
217681	5		FITC-A		LIN-1
217682	7		ECD-A	hPTPRC/iso:h6	CD45RA
217682	9		PE-Cy7-A	hICOS	ICOS
217682	12		APC-H7-A	hCD4	CD4
217683	7		ECD-A	hCD19	CD19
217683	14		Pacific Orange-A	hCD3E, hCD14, VIVID	VIVID/CD3/CD14
217684	12		APC-H7-A	hFCGR3A	CD16
217685	1		FSC-A		FSC-A
217686	10		APC-A	hCD8A	CD8
217687	6		PE-A	hCD24	CD24
217687	7		ECD-A	hCD19	CD19
217687	11		Alexa Fluor 700-A		Alexa Fluor 700-A
217687	12		APC-H7-A	hCD27	CD27
217688	4	SSC	SSC-H	SSC	SSC-H
217688	9		PE-Cy7-A	hCCR7	CCR7
217691	2		FSC-H		FSC-H
217691	9		PE-Cy7-A	hCD38	CD38
217691	13		Pacific Blue-A	hCD86	CD86
217688	12		APC-H7-A	hFCGR3A	CD16
217688	13		Pacific Blue-A	hCD86	CD86
217688	15		Time		Time
217690	1		FSC-A		FSC-A
217692	6		PE-A	hCD14	CD14
217693	5		FITC-A		LIN-1
217693	8		PE-Cy5-A	hCD40	CD40
217693	10		APC-A	hTHBD	BDCA-3
217693	11		Alexa Fluor 700-A	hHLA-DRA	DR
217694	1		FSC-A		FSC-A
217694	2		FSC-H		FSC-H
217695	10		APC-A	hSDC1	CD138
217696	7		ECD-A	hCD2	CD2
217697	8		PE-Cy5-A	hCD40	CD40
217697	9		PE-Cy7-A	hCD1C	CD1c
217697	11		Alexa Fluor 700-A	hHLA-DRA	DR
217699	6		PE-A	hCD24	CD24
217700	5		FITC-A		CXC3CR1
217700	10		APC-A	hSECISBP2L	SLAN
217700	11		Alexa Fluor 700-A	hHLA-DRA	DR
217701	6		PE-A	hCLEC4C	BDCA-2
217702	10		APC-A	hCD8A	CD8
217703	9		PE-Cy7-A	hCD38	CD38
217703	10		APC-A	hSDC1	CD138
217704	4	SSC	SSC-H	SSC	SSC-H
217704	15		Time		Time
217706	4	SSC	SSC-H	SSC	SSC-H
217706	12		APC-H7-A	hCD4	CD4
217706	14		Pacific Orange-A		VIVID
217707	1		FSC-A		FSC-A
217707	8		PE-Cy5-A	hMS4A1	CD20
217707	13		Pacific Blue-A	hCD86	CD86
217708	4	SSC	SSC-H	SSC	SSC-H
217708	11		Alexa Fluor 700-A	hHLA-DRA	DR
217708	15		Time		Time
217709	1		FSC-A		FSC-A
217709	12		APC-H7-A	hITGAX	CD11c
217709	13		Pacific Blue-A	hCD86	CD86
217710	8		PE-Cy5-A	hCXCR3	CXCR3
217710	12		APC-H7-A	hCD4	CD4
217712	2		FSC-H		FSC-H
217713	3	SSC	SSC-A	SSC	SSC-A
217713	13		Pacific Blue-A	hCD86	CD86
217714	1		FSC-A		FSC-A
217714	3	SSC	SSC-A	SSC	SSC-A
217715	3	SSC	SSC-A	SSC	SSC-A
217715	5		FITC-A	hIGHD	IgD
217715	13		Pacific Blue-A	hCD86	CD86
217716	1		FSC-A		FSC-A
217716	4	SSC	SSC-H	SSC	SSC-H
217716	8		PE-Cy5-A	hCD40	CD40
217716	9		PE-Cy7-A	hCCR7	CCR7
217716	13		Pacific Blue-A	hCD86	CD86
217716	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217717	7		ECD-A	hCD2	CD2
217717	8		PE-Cy5-A	hCD40	CD40
217717	10		APC-A	hTHBD	BDCA-3
217718	2		FSC-H		FSC-H
217718	8		PE-Cy5-A	hCXCR3	CXCR3
217721	8		PE-Cy5-A	hCD40	CD40
217721	13		Pacific Blue-A	hCD86	CD86
217718	11		Alexa Fluor 700-A	hCD3E	CD3
217719	8		PE-Cy5-A	hMS4A1	CD20
217720	5		FITC-A		CXC3CR1
217723	4	SSC	SSC-H	SSC	SSC-H
217723	5		FITC-A	hIGHD	IgD
217723	15		Time		Time
217724	10		APC-A	hSECISBP2L	SLAN
217725	1		FSC-A		FSC-A
217725	10		APC-A	hTHBD	BDCA-3
217726	11		Alexa Fluor 700-A	hCD3E	CD3
217727	1		FSC-A		FSC-A
217728	6		PE-A	hCD14	CD14
217728	9		PE-Cy7-A	hCCR7	CCR7
217728	12		APC-H7-A	hFCGR3A	CD16
217728	15		Time		Time
217730	2		FSC-H		FSC-H
217730	7		ECD-A	hPTPRC/iso:h6	CD45RA
217731	9		PE-Cy7-A	hCD38	CD38
217732	3	SSC	SSC-A	SSC	SSC-A
217732	5		FITC-A		CXC3CR1
217732	12		APC-H7-A	hFCGR3A	CD16
217732	13		Pacific Blue-A	hCD86	CD86
217734	1		FSC-A		FSC-A
217734	5		FITC-A	hCXCR5	CXCR5
217734	10		APC-A	hCD8A	CD8
217735	7		ECD-A	hCD19	CD19
217736	13		Pacific Blue-A	hCD86	CD86
217738	1		FSC-A		FSC-A
217738	3	SSC	SSC-A	SSC	SSC-A
217738	12		APC-H7-A	hCD4	CD4
217739	1		FSC-A		FSC-A
217739	3	SSC	SSC-A	SSC	SSC-A
217739	5		FITC-A	hIGHD	IgD
217739	9		PE-Cy7-A	hCD38	CD38
217739	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217740	3	SSC	SSC-A	SSC	SSC-A
217740	11		Alexa Fluor 700-A	hHLA-DRA	DR
217741	13		Pacific Blue-A	hCD86	CD86
217742	7		ECD-A	hPTPRC/iso:h6	CD45RA
217742	8		PE-Cy5-A	hCXCR3	CXCR3
217743	1		FSC-A		FSC-A
217744	10		APC-A	hSECISBP2L	SLAN
217744	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217745	6		PE-A	hCLEC4C	BDCA-2
217745	7		ECD-A	hCD2	CD2
217745	11		Alexa Fluor 700-A	hHLA-DRA	DR
217746	5		FITC-A	hCXCR5	CXCR5
217746	12		APC-H7-A	hCD4	CD4
217747	10		APC-A	hSDC1	CD138
217748	1		FSC-A		FSC-A
217751	5		FITC-A	hIGHD	IgD
217748	8		PE-Cy5-A	hCD40	CD40
217749	10		APC-A	hTHBD	BDCA-3
217749	11		Alexa Fluor 700-A	hHLA-DRA	DR
217749	13		Pacific Blue-A	hCD86	CD86
217749	14		Pacific Orange-A		VIVID
217750	15		Time		Time
217752	4	SSC	SSC-H	SSC	SSC-H
217752	9		PE-Cy7-A	hCCR7	CCR7
217754	3	SSC	SSC-A	SSC	SSC-A
217754	8		PE-Cy5-A	hCXCR3	CXCR3
217755	1		FSC-A		FSC-A
217755	6		PE-A	hCD24	CD24
217755	7		ECD-A	hCD19	CD19
217755	14		Pacific Orange-A		VIVID
217756	3	SSC	SSC-A	SSC	SSC-A
217756	6		PE-A	hCD14	CD14
217757	10		APC-A	hTHBD	BDCA-3
217758	9		PE-Cy7-A	hICOS	ICOS
217758	12		APC-H7-A	hCD4	CD4
217758	14		Pacific Orange-A		VIVID
217759	8		PE-Cy5-A	hMS4A1	CD20
217760	5		FITC-A		CXC3CR1
217761	9		PE-Cy7-A	hCD1C	CD1c
217762	5		FITC-A	hCXCR5	CXCR5
217764	1		FSC-A		FSC-A
217764	3	SSC	SSC-A	SSC	SSC-A
217764	9		PE-Cy7-A	hCCR7	CCR7
217764	13		Pacific Blue-A	hCD86	CD86
217765	12		APC-H7-A	hITGAX	CD11c
217765	14		Pacific Orange-A		VIVID
217766	12		APC-H7-A	hCD4	CD4
217767	3	SSC	SSC-A	SSC	SSC-A
217767	13		Pacific Blue-A	hCD86	CD86
217768	6		PE-A	hCD14	CD14
217768	7		ECD-A	hCD2	CD2
217769	6		PE-A	hCLEC4C	BDCA-2
217770	14		Pacific Orange-A		VIVID
217771	13		Pacific Blue-A	hCD86	CD86
217772	1		FSC-A		FSC-A
217772	6		PE-A	hCD14	CD14
217774	13		Pacific Blue-A	hPDCD1	PD-1
217775	14		Pacific Orange-A	hCD3E, hCD14, VIVID	VIVID/CD3/CD14
217777	11		Alexa Fluor 700-A	hHLA-DRA	DR
217778	3	SSC	SSC-A	SSC	SSC-A
217779	2		FSC-H		FSC-H
217779	15		Time		Time
217780	6		PE-A	hCD14	CD14
217780	7		ECD-A	hCD2	CD2
217780	13		Pacific Blue-A	hCD86	CD86
217782	2		FSC-H		FSC-H
217782	5		FITC-A	hCXCR5	CXCR5
217782	6		PE-A	hCCR6	CCR6
217783	1		FSC-A		FSC-A
217783	15		Time		Time
217784	10		APC-A	hSECISBP2L	SLAN
217785	1		FSC-A		FSC-A
217785	8		PE-Cy5-A	hCD40	CD40
217785	9		PE-Cy7-A	hCD1C	CD1c
217785	14		Pacific Orange-A		VIVID
217786	9		PE-Cy7-A	hICOS	ICOS
217786	10		APC-A	hCD8A	CD8
217788	6		PE-A	hCD14	CD14
217788	8		PE-Cy5-A	hCD40	CD40
217788	9		PE-Cy7-A	hCCR7	CCR7
217789	10		APC-A	hTHBD	BDCA-3
217789	14		Pacific Orange-A		VIVID
217790	3	SSC	SSC-A	SSC	SSC-A
217791	4	SSC	SSC-H	SSC	SSC-H
217791	11		Alexa Fluor 700-A		Alexa Fluor 700-A
217792	5		FITC-A		CXC3CR1
217793	9		PE-Cy7-A	hCD1C	CD1c
217793	10		APC-A	hTHBD	BDCA-3
217794	9		PE-Cy7-A	hICOS	ICOS
217794	10		APC-A	hCD8A	CD8
217794	13		Pacific Blue-A	hPDCD1	PD-1
217795	1		FSC-A		FSC-A
217795	5		FITC-A	hIGHD	IgD
217796	11		Alexa Fluor 700-A	hHLA-DRA	DR
217798	2		FSC-H		FSC-H
217798	3	SSC	SSC-A	SSC	SSC-A
217798	8		PE-Cy5-A	hCXCR3	CXCR3
217798	9		PE-Cy7-A	hICOS	ICOS
217799	4	SSC	SSC-H	SSC	SSC-H
217799	7		ECD-A	hCD19	CD19
217799	11		Alexa Fluor 700-A		Alexa Fluor 700-A
217800	2		FSC-H		FSC-H
217800	6		PE-A	hCD14	CD14
217800	7		ECD-A	hCD2	CD2
217800	11		Alexa Fluor 700-A	hHLA-DRA	DR
217801	2		FSC-H		FSC-H
217802	9		PE-Cy7-A	hICOS	ICOS
217803	1		FSC-A		FSC-A
217803	7		ECD-A	hCD19	CD19
217803	9		PE-Cy7-A	hCD38	CD38
217804	4	SSC	SSC-H	SSC	SSC-H
217804	11		Alexa Fluor 700-A	hHLA-DRA	DR
217805	4	SSC	SSC-H	SSC	SSC-H
217805	6		PE-A	hCLEC4C	BDCA-2
217805	15		Time		Time
217806	1		FSC-A		FSC-A
217806	4	SSC	SSC-H	SSC	SSC-H
217807	2		FSC-H		FSC-H
217808	2		FSC-H		FSC-H
217811	7		ECD-A	hCD19	CD19
217808	7		ECD-A	hCD2	CD2
217808	13		Pacific Blue-A	hCD86	CD86
217809	8		PE-Cy5-A	hCD40	CD40
217809	9		PE-Cy7-A	hCD1C	CD1c
217809	11		Alexa Fluor 700-A	hHLA-DRA	DR
217810	15		Time		Time
217812	6		PE-A	hCD14	CD14
217812	7		ECD-A	hCD2	CD2
217812	13		Pacific Blue-A	hCD86	CD86
217814	4	SSC	SSC-H	SSC	SSC-H
217814	7		ECD-A	hPTPRC/iso:h6	CD45RA
217816	1		FSC-A		FSC-A
217816	4	SSC	SSC-H	SSC	SSC-H
217817	13		Pacific Blue-A	hCD86	CD86
217817	14		Pacific Orange-A		VIVID
217818	9		PE-Cy7-A	hICOS	ICOS
217818	11		Alexa Fluor 700-A	hCD3E	CD3
217818	12		APC-H7-A	hCD4	CD4
217818	14		Pacific Orange-A		VIVID
217819	1		FSC-A		FSC-A
217819	4	SSC	SSC-H	SSC	SSC-H
217820	2		FSC-H		FSC-H
217821	3	SSC	SSC-A	SSC	SSC-A
217821	6		PE-A	hCLEC4C	BDCA-2
217821	8		PE-Cy5-A	hCD40	CD40
217821	11		Alexa Fluor 700-A	hHLA-DRA	DR
217822	1		FSC-A		FSC-A
217822	3	SSC	SSC-A	SSC	SSC-A
217822	10		APC-A	hCD8A	CD8
217824	7		ECD-A	hCD2	CD2
217825	7		ECD-A	hCD2	CD2
217825	14		Pacific Orange-A		VIVID
217826	6		PE-A	hCCR6	CCR6
217827	1		FSC-A		FSC-A
217827	3	SSC	SSC-A	SSC	SSC-A
217827	4	SSC	SSC-H	SSC	SSC-H
217827	14		Pacific Orange-A	hCD3E, hCD14, VIVID	VIVID/CD3/CD14
217828	12		APC-H7-A	hFCGR3A	CD16
217829	1		FSC-A		FSC-A
217829	4	SSC	SSC-H	SSC	SSC-H
217829	13		Pacific Blue-A	hCD86	CD86
217830	4	SSC	SSC-H	SSC	SSC-H
217832	15		Time		Time
217833	1		FSC-A		FSC-A
217833	3	SSC	SSC-A	SSC	SSC-A
217833	8		PE-Cy5-A	hCD40	CD40
217833	9		PE-Cy7-A	hCD1C	CD1c
217833	11		Alexa Fluor 700-A	hHLA-DRA	DR
217835	5		FITC-A	hIGHD	IgD
217835	8		PE-Cy5-A	hMS4A1	CD20
217835	9		PE-Cy7-A	hCD38	CD38
217835	10		APC-A	hSDC1	CD138
217835	13		Pacific Blue-A	hCD86	CD86
217836	11		Alexa Fluor 700-A	hHLA-DRA	DR
217837	6		PE-A	hCLEC4C	BDCA-2
217837	12		APC-H7-A	hITGAX	CD11c
217837	15		Time		Time
217841	3	SSC	SSC-A	SSC	SSC-A
217841	9		PE-Cy7-A	hCD1C	CD1c
217841	12		APC-H7-A	hITGAX	CD11c
217838	2		FSC-H		FSC-H
217838	7		ECD-A	hPTPRC/iso:h6	CD45RA
217839	1		FSC-A		FSC-A
217839	2		FSC-H		FSC-H
217839	4	SSC	SSC-H	SSC	SSC-H
217839	7		ECD-A	hCD19	CD19
217839	12		APC-H7-A	hCD27	CD27
217839	15		Time		Time
217840	1		FSC-A		FSC-A
217840	3	SSC	SSC-A	SSC	SSC-A
217840	7		ECD-A	hCD2	CD2
217842	2		FSC-H		FSC-H
217842	5		FITC-A	hCXCR5	CXCR5
217842	9		PE-Cy7-A	hICOS	ICOS
217842	11		Alexa Fluor 700-A	hCD3E	CD3
217842	13		Pacific Blue-A	hPDCD1	PD-1
217842	14		Pacific Orange-A		VIVID
217843	14		Pacific Orange-A		VIVID
217844	12		APC-H7-A	hFCGR3A	CD16
217844	13		Pacific Blue-A	hCD86	CD86
217845	1		FSC-A		FSC-A
217845	4	SSC	SSC-H	SSC	SSC-H
217846	7		ECD-A	hPTPRC/iso:h6	CD45RA
217847	9		PE-Cy7-A	hCD38	CD38
217848	4	SSC	SSC-H	SSC	SSC-H
217849	9		PE-Cy7-A	hCD1C	CD1c
217850	11		Alexa Fluor 700-A	hCD3E	CD3
217851	10		APC-A	hSDC1	CD138
217852	7		ECD-A	hCD2	CD2
217852	8		PE-Cy5-A	hCD40	CD40
217852	15		Time		Time
217853	8		PE-Cy5-A	hCD40	CD40
217854	11		Alexa Fluor 700-A	hCD3E	CD3
217854	13		Pacific Blue-A	hPDCD1	PD-1
217855	4	SSC	SSC-H	SSC	SSC-H
217855	14		Pacific Orange-A		VIVID
217856	1		FSC-A		FSC-A
217857	12		APC-H7-A	hITGAX	CD11c
217858	4	SSC	SSC-H	SSC	SSC-H
217858	10		APC-A	hCD8A	CD8
217858	11		Alexa Fluor 700-A	hCD3E	CD3
217860	5		FITC-A		CXC3CR1
217860	8		PE-Cy5-A	hCD40	CD40
217861	3	SSC	SSC-A	SSC	SSC-A
217861	9		PE-Cy7-A	hCD1C	CD1c
217861	10		APC-A	hTHBD	BDCA-3
217863	3	SSC	SSC-A	SSC	SSC-A
217864	12		APC-H7-A	hFCGR3A	CD16
217865	7		ECD-A	hCD2	CD2
217867	7		ECD-A	hCD19	CD19
217867	10		APC-A	hSDC1	CD138
217870	5		FITC-A	hCXCR5	CXCR5
217868	11		Alexa Fluor 700-A	hHLA-DRA	DR
217871	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217871	12		APC-H7-A	hCD27	CD27
217872	11		Alexa Fluor 700-A	hHLA-DRA	DR
217873	15		Time		Time
217874	4	SSC	SSC-H	SSC	SSC-H
217875	6		PE-A	hCD24	CD24
217876	6		PE-A	hCD14	CD14
217877	15		Time		Time
217878	6		PE-A	hCCR6	CCR6
217878	7		ECD-A	hPTPRC/iso:h6	CD45RA
217879	12		APC-H7-A	hCD27	CD27
217880	5		FITC-A		CXC3CR1
217880	6		PE-A	hCD14	CD14
217880	11		Alexa Fluor 700-A	hHLA-DRA	DR
217881	3	SSC	SSC-A	SSC	SSC-A
217881	10		APC-A	hTHBD	BDCA-3
217883	10		APC-A	hSDC1	CD138
217884	13		Pacific Blue-A	hCD86	CD86
217885	14		Pacific Orange-A		VIVID
217886	3	SSC	SSC-A	SSC	SSC-A
217886	6		PE-A	hCCR6	CCR6
217886	11		Alexa Fluor 700-A	hCD3E	CD3
217887	1		FSC-A		FSC-A
217887	2		FSC-H		FSC-H
217887	10		APC-A	hSDC1	CD138
217887	13		Pacific Blue-A	hCD86	CD86
217887	15		Time		Time
217888	13		Pacific Blue-A	hCD86	CD86
217889	1		FSC-A		FSC-A
217890	15		Time		Time
217891	6		PE-A	hCD24	CD24
217891	9		PE-Cy7-A	hCD38	CD38
217891	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217891	13		Pacific Blue-A	hCD86	CD86
217892	15		Time		Time
217893	4	SSC	SSC-H	SSC	SSC-H
217893	12		APC-H7-A	hITGAX	CD11c
217894	13		Pacific Blue-A	hPDCD1	PD-1
217895	1		FSC-A		FSC-A
217896	15		Time		Time
217900	5		FITC-A		CXC3CR1
217900	7		ECD-A	hCD2	CD2
217900	8		PE-Cy5-A	hCD40	CD40
217900	9		PE-Cy7-A	hCCR7	CCR7
217898	3	SSC	SSC-A	SSC	SSC-A
217898	10		APC-A	hCD8A	CD8
217898	14		Pacific Orange-A		VIVID
217899	3	SSC	SSC-A	SSC	SSC-A
217899	12		APC-H7-A	hCD27	CD27
217901	10		APC-A	hTHBD	BDCA-3
217901	15		Time		Time
217902	3	SSC	SSC-A	SSC	SSC-A
217902	8		PE-Cy5-A	hCXCR3	CXCR3
217903	5		FITC-A	hIGHD	IgD
217904	15		Time		Time
217905	5		FITC-A		LIN-1
217905	10		APC-A	hTHBD	BDCA-3
217905	11		Alexa Fluor 700-A	hHLA-DRA	DR
217906	10		APC-A	hCD8A	CD8
217907	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217908	9		PE-Cy7-A	hCCR7	CCR7
217908	11		Alexa Fluor 700-A	hHLA-DRA	DR
217908	15		Time		Time
217911	1		FSC-A		FSC-A
217911	4	SSC	SSC-H	SSC	SSC-H
217912	7		ECD-A	hCD2	CD2
217912	10		APC-A	hSECISBP2L	SLAN
217912	15		Time		Time
217914	9		PE-Cy7-A	hICOS	ICOS
217914	15		Time		Time
217915	4	SSC	SSC-H	SSC	SSC-H
217915	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217916	6		PE-A	hCD14	CD14
217916	7		ECD-A	hCD2	CD2
217917	12		APC-H7-A	hITGAX	CD11c
217919	2		FSC-H		FSC-H
217919	12		APC-H7-A	hCD27	CD27
217920	6		PE-A	hCD14	CD14
217920	12		APC-H7-A	hFCGR3A	CD16
217921	3	SSC	SSC-A	SSC	SSC-A
217922	2		FSC-H		FSC-H
217922	10		APC-A	hCD8A	CD8
217922	15		Time		Time
217923	1		FSC-A		FSC-A
217923	6		PE-A	hCD24	CD24
217923	7		ECD-A	hCD19	CD19
217923	9		PE-Cy7-A	hCD38	CD38
217924	2		FSC-H		FSC-H
217924	6		PE-A	hCD14	CD14
217924	10		APC-A	hSECISBP2L	SLAN
217925	1		FSC-A		FSC-A
217925	10		APC-A	hTHBD	BDCA-3
217926	5		FITC-A	hCXCR5	CXCR5
217926	13		Pacific Blue-A	hPDCD1	PD-1
217930	11		Alexa Fluor 700-A	hCD3E	CD3
217930	15		Time		Time
217931	7		ECD-A	hCD19	CD19
217931	8		PE-Cy5-A	hMS4A1	CD20
217931	12		APC-H7-A	hCD27	CD27
217932	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217934	2		FSC-H		FSC-H
217934	4	SSC	SSC-H	SSC	SSC-H
217934	5		FITC-A	hCXCR5	CXCR5
217935	2		FSC-H		FSC-H
217935	9		PE-Cy7-A	hCD38	CD38
217935	14		Pacific Orange-A		VIVID
217936	7		ECD-A	hCD2	CD2
217936	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217937	15		Time		Time
217938	10		APC-A	hCD8A	CD8
217939	2		FSC-H		FSC-H
217939	5		FITC-A	hIGHD	IgD
217939	7		ECD-A	hCD19	CD19
217939	10		APC-A	hSDC1	CD138
217940	1		FSC-A		FSC-A
217940	2		FSC-H		FSC-H
217940	5		FITC-A		CXC3CR1
217940	7		ECD-A	hCD2	CD2
217941	4	SSC	SSC-H	SSC	SSC-H
217942	5		FITC-A	hCXCR5	CXCR5
217943	1		FSC-A		FSC-A
217943	10		APC-A	hSDC1	CD138
217945	2		FSC-H		FSC-H
217945	5		FITC-A		LIN-1
217945	13		Pacific Blue-A	hCD86	CD86
217946	1		FSC-A		FSC-A
217946	7		ECD-A	hPTPRC/iso:h6	CD45RA
217946	8		PE-Cy5-A	hCXCR3	CXCR3
217946	10		APC-A	hCD8A	CD8
217946	11		Alexa Fluor 700-A	hCD3E	CD3
217946	12		APC-H7-A	hCD4	CD4
217947	2		FSC-H		FSC-H
217947	6		PE-A	hCD24	CD24
217947	9		PE-Cy7-A	hCD38	CD38
217947	10		APC-A	hSDC1	CD138
217947	14		Pacific Orange-A		VIVID
217948	5		FITC-A		CXC3CR1
217948	11		Alexa Fluor 700-A	hHLA-DRA	DR
217949	2		FSC-H		FSC-H
217949	14		Pacific Orange-A		VIVID
217950	4	SSC	SSC-H	SSC	SSC-H
217950	8		PE-Cy5-A	hCXCR3	CXCR3
217951	5		FITC-A	hIGHD	IgD
217951	8		PE-Cy5-A	hMS4A1	CD20
217952	10		APC-A	hSECISBP2L	SLAN
217953	9		PE-Cy7-A	hCD1C	CD1c
217953	14		Pacific Orange-A		VIVID
217954	14		Pacific Orange-A		VIVID
217954	15		Time		Time
217955	8		PE-Cy5-A	hMS4A1	CD20
217956	6		PE-A	hCD14	CD14
217956	10		APC-A	hSECISBP2L	SLAN
217958	7		ECD-A	hPTPRC/iso:h6	CD45RA
217958	10		APC-A	hCD8A	CD8
217958	15		Time		Time
217575	4	SSC	SSC-H	SSC	SSC-H
217576	8		PE-Cy5-A	hCD40	CD40
217577	1		FSC-A		FSC-A
217577	4	SSC	SSC-H	SSC	SSC-H
217577	6		PE-A	hCLEC4C	BDCA-2
217577	10		APC-A	hTHBD	BDCA-3
217577	11		Alexa Fluor 700-A	hHLA-DRA	DR
217577	14		Pacific Orange-A		VIVID
217577	15		Time		Time
217579	8		PE-Cy5-A	hMS4A1	CD20
217580	2		FSC-H		FSC-H
217580	11		Alexa Fluor 700-A	hHLA-DRA	DR
217580	12		APC-H7-A	hFCGR3A	CD16
217580	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217581	2		FSC-H		FSC-H
217581	9		PE-Cy7-A	hCD1C	CD1c
217582	10		APC-A	hCD8A	CD8
217583	15		Time		Time
217584	1		FSC-A		FSC-A
217585	7		ECD-A	hCD2	CD2
217585	8		PE-Cy5-A	hCD40	CD40
217586	7		ECD-A	hPTPRC/iso:h6	CD45RA
217587	12		APC-H7-A	hCD27	CD27
217588	2		FSC-H		FSC-H
217588	3	SSC	SSC-A	SSC	SSC-A
217588	4	SSC	SSC-H	SSC	SSC-H
217588	15		Time		Time
217593	9		PE-Cy7-A	hCD1C	CD1c
217593	13		Pacific Blue-A	hCD86	CD86
217593	15		Time		Time
217594	5		FITC-A	hCXCR5	CXCR5
217595	1		FSC-A		FSC-A
217595	10		APC-A	hSDC1	CD138
217597	8		PE-Cy5-A	hCD40	CD40
217597	14		Pacific Orange-A		VIVID
217599	7		ECD-A	hCD19	CD19
217599	13		Pacific Blue-A	hCD86	CD86
217600	6		PE-A	hCD14	CD14
217600	12		APC-H7-A	hFCGR3A	CD16
217602	5		FITC-A	hCXCR5	CXCR5
217602	6		PE-A	hCCR6	CCR6
217603	6		PE-A	hCD24	CD24
217603	7		ECD-A	hCD19	CD19
