NAME	DISEASE_ONTOLOGY_ID	DESCRIPTION	LINK	HUMAN_PHENOTYPE_ID
plague	DOID:3482	A primary bacterial infectious disease that results_in infection, located_in lymph node, located_in vasculature or located_in lungs, has_material_basis_in Yersinia pestis, which is transmitted_by oriental rat flea (Xenopsylla cheopis) infected by feeding on rodents and other mammals, transmitted_by air, transmitted_by direct contact or transmitted_by ingestion of contaminated undercooked food.	http://purl.obolibrary.org/obo/DOID_3482	
Plasmodium falciparum malaria	DOID:14067	A malaria described as a severe form of the disease caused by a parasite Plasmodium falciparum, which is marked by irrregular recurrence of paroxysms and prolonged or continuous fever.	http://purl.obolibrary.org/obo/DOID_14067	
Plasmodium vivax malaria	DOID:12978	A malaria that is caused by the protozoan parasite Plasmodium vivax, which induces paroxysms at 48-hour intervals.	http://purl.obolibrary.org/obo/DOID_12978	
Primary Sjogren Syndrome	NCIT:C116985	Sjogren syndrome without a concomitant systemic autoimmune disorder.	http://purl.obolibrary.org/obo/NCIT_C116985	
Rhinovirus Infection	NCIT:C122572	An infectious process caused by rhinovirus. The virus usually causes upper respiratory infections, but can infect the lower tract as well.	http://purl.obolibrary.org/obo/NCIT_C122572	
rubella	DOID:8781	A viral infectious disease that results_in infection located_in skin, has_material_basis_in Rubella virus, which is transmitted_by droplet spread of oronasal secretions from the infected person through coughing and sneezing, and transmitted_by congenital method. The infection has_symptom rash on the face which spreads to the trunk and limbs, has_symptom fever, has_symptom lymphadenopathy, has_symptom joint pains, has_symptom headache, and has_symptom conjunctivitis.	http://purl.obolibrary.org/obo/DOID_8781	
salmonellosis	DOID:0060859	A primary bacterial infectious disease caused by the bacteria of the genus Salmonella. It has sypmtoms diarrhea, fever, vomiting, and abdominal cramps 12 to 72 hours after infection. In most cases, the illness lasts four to seven days, and most people recover without treatment.	http://purl.obolibrary.org/obo/DOID_0060859	
sarcoma	DOID:1115	A cell type cancer that has_material_basis_in abnormally proliferating cells derives from embryonic mesoderm.	http://purl.obolibrary.org/obo/DOID_1115	HP:0100242
Seasonal Allergic Rhinitis	NCIT:C92188	Allergic rhinitis caused by outdoor allergens.	http://purl.obolibrary.org/obo/NCIT_C92188	HP:0003193
Spontaneous Preterm Birth	NCIT:C112864	Preterm birth from 20 weeks to 36 weeks, 6 days of gestation associated with one of the following: classic preterm labor or preterm premature rupture of membranes.	http://purl.obolibrary.org/obo/NCIT_C112864	
Staphylococcus Aureus Infection	NCIT:C122576	An infectious process in which the bacteria Staphylococcus aureus is present.	http://purl.obolibrary.org/obo/NCIT_C122576	HP:0020072
Streptococcus pneumonia	DOID:0040084	A bacterial pneumonia has_material_basis_in Streptococcus pneumoniae.	http://purl.obolibrary.org/obo/DOID_0040084	
swine influenza	DOID:0050211	An influenza that results_in infection located_in respiratory tract of pigs and humans, has_material_basis_in Influenza C virus, or has_material_basis_in Influenza A virus subtypes (H1N1, H1N2, H3N1, H3N2, and H2N3), which are transmitted_by direct contact with infected pigs. The infection in humans has_symptom fever, has_symptom lethargy, has_symptom lack of appetite, has_symptom coughing, has_symptom runny nose, has_symptom sore throat, has_symptom nausea, has_symptom vomiting, and has_symptom diarrhea.	http://purl.obolibrary.org/obo/DOID_0050211	
systemic scleroderma	DOID:418	A scleroderma that is characterized by fibrosis (or hardening) of the skin and major organs, as well as vascular alterations, and autoantibodies.	http://purl.obolibrary.org/obo/DOID_418	HP:0100324
tetanus	DOID:11338	A primary bacterial infectious disease that results in prolonged contraction of skeletal muscle fibers, has_material_basis_in Clostridium tetani, which produces tetanospasmin, a neurotoxin, which is carried to the brain and spinal cord, where it binds irreversibly to receptors inhibiting neurotransmission. Damaged upper motor neurons cannot control reflex responses to afferent sensory stimuli.	http://purl.obolibrary.org/obo/DOID_11338	
tularemia	DOID:2123	A primary bacterial infectious disease that has_material_basis_in Francisella tularensis, which is transmitted by dog tick bite (Dermacentor variabilis), transmitted by deer flies (Chrysops sp) or transmitted by contact with infected animal tissues.	http://purl.obolibrary.org/obo/DOID_2123	
typhoid fever	DOID:13258	A primary bacterial infectious disease that is a communicable systemic illness, has_material_basis_in Salmonella enterica subsp enterica serovar Typhi, which is transmitted_by ingestion of food or water contaminated with the feces of an infected person. The infection has_symptom fever, has_symptom diarrhea, has_symptom prostration, has_symptom headache, has_symptom splenomegaly, has_symptom liver enlargement, has_symptom eruption of rose-colored spots, and has_symptom leukopenia.	http://purl.obolibrary.org/obo/DOID_13258	
ulcerative colitis	DOID:8577	A colitis that is predominantly confined to the mucosa located_in colon and includes characteristic ulcers, or open sores.	http://purl.obolibrary.org/obo/DOID_8577	HP:0100279
upper respiratory tract disease	DOID:974	A respiratory system disease which involves the upper respiratory tract.	http://purl.obolibrary.org/obo/DOID_974	
Viral Respiratory Tract Infection	NCIT:C27219	A respiratory tract infection caused by a virus.  Viruses represent the most common causes of upper and lower respiratory tract infections and include rhinoviruses, influenza viruses, parainfluenza viruses, and respiratory syncytial virus.	http://purl.obolibrary.org/obo/NCIT_C27219	
human immunodeficiency virus infectious disease	DOID:526	A viral infectious disease that results in destruction of immune system, leading to life-threatening opportunistic infections and cancers, has_material_basis_in Human immunodeficiency virus 1 or has_material_basis_in Human immunodeficiency virus 2, which are transmitted by sexual contact, transmitted by transfer of blood, semen, vaginal fluid, pre-ejaculate, or breast milk, transmitted by congenital method, and transmitted by contaminated needles. The virus infects helper T cells (CD4+ T cells) which are directly or indirectly destroyed, macrophages, and dendritic cells. The infection has symptom diarrhea, has symptom fatigue, has symptom fever, has symptom vaginal yeast infection, has symptom headache, has symptom mouth sores, has symptom muscle aches, has symptom sore throat, and has symptom swollen lymph glands.	http://purl.obolibrary.org/obo/DOID_526	
Pancreas Transplantation	NCIT:C15293	The surgical transfer of a pancreas from one individual to another.	http://purl.obolibrary.org/obo/NCIT_C15293	
hypertension	DOID:10763	An artery disease characterized by chronic elevated blood pressure in the arteries.	http://purl.obolibrary.org/obo/DOID_10763	HP:0000822
viral tropism	MESH:D056189	The specificity of a virus for infecting a particular type of cell or tissue.	http://id.nlm.nih.gov/mesh/D056189	
myocardial infarction	DOID:5844	A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.	http://purl.obolibrary.org/obo/DOID_5844	HP:0001658
nephrolithiasis	DOID:585	A kidney disease characterized by the formation of stoney concentrations in the kidneys.	http://purl.obolibrary.org/obo/DOID_585	HP:0000787
congestive heart failure	DOID:6000	A heart disease that is characterized by any structural or functional cardiac disorder that impairs the ability of the heart to fill with or pump a sufficient amount of blood throughout the body.	http://purl.obolibrary.org/obo/DOID_6000	HP:0001635
paraplegia	DOID:607	paraplegia	http://purl.obolibrary.org/obo/DOID_607	HP:0010550
primary immunodeficiency disease	DOID:612	An immune system disease that results when one or more essential parts of the immune system is missing or not working properly at birth due to a genetic mutation.	http://purl.obolibrary.org/obo/DOID_612	HP:0002721
bronchitis	DOID:6132	A bronchial disease that is an inflammation of the bronchial tubes. It is caused by bacteria and viruses. The disease has_symptom cough with mucus, has_symptom shortness of breath, has_symptom low fever and has_symptom chest tightness.	http://purl.obolibrary.org/obo/DOID_6132	HP:0012387
conjunctivitis	DOID:6195	A conjunctival disease characterized by an inflammation of the conjunctiva, the outermost layer of the eye and the inner surface of the eyelids.	http://purl.obolibrary.org/obo/DOID_6195	HP:0000509
fibromyalgia	DOID:631	fibromyalgia	http://purl.obolibrary.org/obo/DOID_631	
acquired immunodeficiency syndrome	DOID:635	A Human immunodeficiency virus infectious disease that results_in reduction in the numbers of CD4-bearing helper T cells below 200 per microliter of blood or 14% of all lymphocytes thereby rendering the subject highly vulnerable to life-threatening infections and cancers, has_material_basis_in Human immunodeficiency virus 1 or has_material_basis_in Human immunodeficiency virus 2, which are transmitted_by sexual contact, transmitted_by transfer of blood, semen, vaginal fluid, pre-ejaculate, or breast milk, transmitted_by congenital method, and transmitted_by contaminated needles. Opportunistic infections are common in people with AIDS.	http://purl.obolibrary.org/obo/DOID_635	
acute disseminated encephalomyelitis	DOID:639	An encephalomyelitis characterized by inflammation located in brain and located in spinal cord that damages myelin. It usually occurs after viral infection, but also following vaccination, bacterial or parasitic infection.	http://purl.obolibrary.org/obo/DOID_639	
pulmonary hypertension	DOID:6432	A hypertension characterized by an increase of blood pressure in the pulmonary artery, pulmonary vein or pulmonary capillaries.	http://purl.obolibrary.org/obo/DOID_6432	HP:0002092
glioblastoma	DOID:3068	A malignant astrocytoma characterized by the presence of small areas of necrotizing tissue that is surrounded by anaplastic cells as well as the presence of hyperplastic blood vessels, and that has_material_basis_in abnormally proliferating cells derives_from multiple cell types including astrocytes and oligondroctyes.	http://purl.obolibrary.org/obo/DOID_3068	HP:0012174
end stage renal disease	DOID:783	A chronic kidney disease is characterized by non-functioning kidneys, as the final stage in chronic kidney disease.	http://purl.obolibrary.org/obo/DOID_783	
tonsillitis	DOID:10456	An upper respiratory tract disease which is characterized by inflammation of the tonsils resulting from bacterial (Group A streptococcus) and viral (Epstein-Barr virus, adenovirus) infections. Symptoms include a severe sore throat, painful or difficult swallowing, coughing, headache, myalgia, fever and chills.	http://purl.obolibrary.org/obo/DOID_10456	HP:0011110
interstitial nephritis	DOID:1063	Interstitial nephritis is a kidney disorder. The kidneys filter waste and extra fluid from the body. When you have interstitial nephritis, the spaces between tubules (small tubes) inside the kidney become inflamed. This reduces the kidneys' ability to filter properly.	http://purl.obolibrary.org/obo/DOID_1063	HP:0001970
cystinosis	DOID:1064	A lysosomal storage disease characterized by the abnormal accumulation of cystine in the lysosomes. It follows an autosomal recessive inheritance pattern and that has_material_basis_in mutations in the CTNS gene, located on chromosome 17.	http://purl.obolibrary.org/obo/DOID_1064	
hemolytic-uremic syndrome	DOID:12554	A kidney disease that is characterized by hemolytic anemia, thrombocytopenia, and renal failure caused by platelet thrombi in the microcirculation of the kidney and other organs.	http://purl.obolibrary.org/obo/DOID_12554	HP:0005575
focal segmental glomerulosclerosis	DOID:1312	Focal segmental glomerulosclerosis (FSGS) is a disease in which scar tissue develops on the parts of the kidneys that filter waste from the blood (glomeruli). FSGS can be caused by a variety of conditions.	http://purl.obolibrary.org/obo/DOID_1312	HP:0000097
schistosomiasis	DOID:1395	A parasitic helminthiasis infectious disease that involves infection of the intestine, urinary tract, skin, liver and spleen caused by multiple species of the trematode fluke of the genus Schistosoma. The symptoms include fever, chills, nausea, abdominal pain, diarrhea, malaise, myalgia, liver and spleen enlargement, rash and hematuria.	http://purl.obolibrary.org/obo/DOID_1395	
Parkinson's disease	DOID:14330	A synucleinopathy that has_material_basis_in degeneration of the central nervous system that often impairs motor skills, speech, and other functions.	http://purl.obolibrary.org/obo/DOID_14330	
kidney cortex necrosis	DOID:2973	A kidney cortex disease that is characterized by death of the tissue in the outer part of the kidney that results from blockage of the small arteries that supply blood to the cortex and that causes acute kidney injury.	http://purl.obolibrary.org/obo/DOID_2973	
cystic kidney disease	DOID:2975	Polycystic kidney disease (PKD) is an inherited disorder in which clusters of cysts develop primarily within your kidneys, causing your kidneys to enlarge and lose function over time. Cysts are noncancerous round sacs containing fluid. The cysts vary in size, and they can grow very large.	http://purl.obolibrary.org/obo/DOID_2975	HP:0000107
brain glioblastoma multiforme	DOID:3073	A brain glioma that has_material_basis_in abnormally proliferating cells derives_from glial cells, has_symptom seizure, headaches, nausea and vomiting, memory loss, changes to personality, mood or concentration; and localized neurological problems.	http://purl.obolibrary.org/obo/DOID_3073	
myasthenia gravis	DOID:437	An autoimmune disease of the nervous system that has_material_basis_in antibodies to acetylcholine receptors at the neuromuscular junction, has_symptom ptosis, has_symptom diplopia, has_symptom dysphagia, has_symptom dysarthria, has_symptom muscle weakness and has_symptom shortness of breath.	http://purl.obolibrary.org/obo/DOID_437	
urinary tract obstruction	DOID:5200	Urinary tract obstruction is a blockage that inhibits the flow of urine through its normal path (the urinary tract), including the kidneys, ureters, bladder, and urethra. Blockage can be complete or partial. Blockage can lead to kidney damage, kidney stones, and infection.	http://purl.obolibrary.org/obo/DOID_5200	
neuromyelitis optica	DOID:8869	A central nervous system disease characterized by inflammation of the optic nerve (optic neuritis) and inflammation of the spinal cord (myelitis).	http://purl.obolibrary.org/obo/DOID_8869	
respiratory syncytial virus infectious disease	DOID:1273	A viral infectious disease that results_in infection located_in upper respiratory tract or located_in lower respiratory tract, has_material_basis_in Human respiratory syncytial virus, which is transmitted_by droplet spread of nasal secretions from an infected person while coughing or sneezing, or transmitted_by contaminated fomites. The infection has_symptom runny nose, has_symptom fever, has_symptom cough, has_symptom wheezing, and has_symptom respiratory distress.	http://purl.obolibrary.org/obo/DOID_1273	
connective tissue disease	DOID:65	A musculoskeletal system disease that affects tissues such as skin, tendons, and cartilage.	http://purl.obolibrary.org/obo/DOID_65	
cerebrovascular disease	DOID:6713	An vascular disease that is characterized by dysfunction of the blood vessels supplying the brain.	http://purl.obolibrary.org/obo/DOID_6713	
autoimmune hemolytic anemia	DOID:718	An autoimmune disease of blood that is characterized by deficient red blood cells caused by auto-antibodies.	http://purl.obolibrary.org/obo/DOID_718	HP:0001890
hematopoietic system disease	DOID:74	A disease of anatomical entity that has_material_basis_in hematopoietic cells.	http://purl.obolibrary.org/obo/DOID_74	HP:0001871
peptic ulcer disease	DOID:750	peptic ulcer disease	http://purl.obolibrary.org/obo/DOID_750	HP:0004398
localized scleroderma	DOID:8472	localized scleroderma	http://purl.obolibrary.org/obo/DOID_8472	HP:0100324
Previous	NCIT:C25627	Occurring prior to something else.	http://purl.obolibrary.org/obo/NCIT_C25627	
Sexually Transmitted Disorder	NCIT:C3365	A disorder acquired through sexual contact.	http://purl.obolibrary.org/obo/NCIT_C3365	
Radiation Sickness Syndrome	NCIT:C50723	The complex of symptoms characterizing the disease known as radiation injury, resulting from excessive exposure (greater than 200 rads or 2 gray) of the whole body (or large part) to ionizing radiation. The earliest of these symptoms are nausea, fatigue, vomiting, and diarrhea, which may be followed by epilation, hemorrhage, inflammation of the mouth and throat, and general loss of energy. In severe cases, where the radiation exposure has been approximately 1000 Rad (10 gray) or more, death may occur within two to four weeks. Those who survive six weeks after the receipt of a single large dose of radiation to the whole body may generally be expected to recover. (U.S. Nuclear Regulatory Commission).	http://purl.obolibrary.org/obo/NCIT_C50723	
Immunologic Tolerance	NCIT:C17712	An innate tolerance that prevents the body from attacking native proteins and tissue.	http://purl.obolibrary.org/obo/NCIT_C17712	
Cephalohematoma	NCIT:C50484	A subperiosteal hemorrhage limited to the surface of one cranial bone, a usually benign condition seen in the newborn as a result of bone trauma.	http://purl.obolibrary.org/obo/NCIT_C50484	HP:0012541
Bariatric Surgery	NCIT:C84399	Surgery performed in morbidly obese patients to help promote weight loss. The procedure aims at the reduction of the stomach size and it is usually achieved either with the implantation of a medical device or the removal of part of the stomach.	http://purl.obolibrary.org/obo/NCIT_C84399	
Metabolic Syndrome	NCIT:C84442	A combination of medical conditions that when present, increase the risk of heart attack, stroke, and diabetes mellitus. It includes the following medical conditions: increased blood pressure, central obesity, dyslipidemia, impaired glucose tolerance, and insulin resistance.	http://purl.obolibrary.org/obo/NCIT_C84442	
Bronchopulmonary Dysplasia	NCIT:C90599	Chronic lung disease requiring treatment with oxygen for at least 28 days and with a spectrum of severity from mild to severe, that predominantly affects premature infants. While the radiologic pattern is typical in the closer to term patient, the pattern in the small preterm infant is very non-discrete and variable.	http://purl.obolibrary.org/obo/NCIT_C90599	
Solid Neoplasm	NCIT:C9292	A benign or malignant neoplasm arising from tissues that do not include fluid areas.  Representative examples include epithelial neoplasms (e.g. lung carcinoma, prostate carcinoma, breast carcinoma, colon carcinoma), and neoplasms arising from the soft tissues and bones (e.g. leiomyosarcoma, liposarcoma, chondrosarcoma, osteosarcoma).  Neoplasms originating from the blood or bone marrow (leukemias and myeloproliferative disorders) are not considered solid tumors.	http://purl.obolibrary.org/obo/NCIT_C9292	
hysterectomy history	OBI:0002398	A gynecologic surgery history in which a woman has had a hysterectomy.	http://purl.obolibrary.org/obo/OBI_0002398	
chronic disease course	OGMS:0000064	A disease course that (a) does not terminate in a return to normal homeostasis and (b) would, absent intervention, fall within abnormal homeostatic range.	http://purl.obolibrary.org/obo/OGMS_0000064	
relapse	OGMS:0000105	A disease stage which is preceded by a remission and characterized by the return of a manifestation of a disease.	http://purl.obolibrary.org/obo/OGMS_0000105	
Water-Electrolyte Imbalance	OMIT:0015710	Water-Electrolyte Imbalance	http://purl.obolibrary.org/obo/OMIT_0015710	
recent	PATO:0001484	A quality of a process which occurs near to or not long before the present.	http://purl.obolibrary.org/obo/PATO_0001484	
neoplastic, metastatic	PATO:0002098	A disposition inhering in a tumour by virtue of the bearer's disposition to spread and invade distant tissues.	http://purl.obolibrary.org/obo/PATO_0002098	
weight loss	SYMP:0000178	weight loss	http://purl.obolibrary.org/obo/SYMP_0000178	HP:0001824
miscarriage	SYMP:0000198	Miscarriage is a reproductive system symptom characterized by the spontaneous expulsion of a human fetus before it is viable and especially between the 12th and 28th weeks of gestation.	http://purl.obolibrary.org/obo/SYMP_0000198	HP:0005268
spontaneous abortion	SYMP:0000199	Spontaneous abortion is a abortion characterized by the naturally occurring expulsion of a nonviable fetus.	http://purl.obolibrary.org/obo/SYMP_0000199	
arrhythmia	SYMP:0000287	Arrhythmia is a cardiovascular system symptom consisting of an alteration in rhythm of the heartbeat either in time or force.	http://purl.obolibrary.org/obo/SYMP_0000287	HP:0011675
stillbirth	SYMP:0000849	Stillbirth is a reproductive system symptom characterized by the birth of a dead fetus, occurs when a fetus which has died in the uterus or during labor or delivery exits a woman's body.	http://purl.obolibrary.org/obo/SYMP_0000849	HP:0003826
Alzheimer's disease	DOID:10652	A tauopathy that is characterized by memory lapses, confusion, emotional instability and progressive loss of mental ability and results in progressive memory loss, impaired thinking, disorientation, and changes in personality and mood starting and leads in advanced cases to a profound decline in cognitive and physical functioning and is marked histologically by the degeneration of brain neurons especially in the cerebral cortex and by the presence of neurofibrillary tangles and plaques containing beta-amyloid.	http://purl.obolibrary.org/obo/DOID_10652	HP:0002511
liver cancer	DOID:3571	A hepatobiliary system cancer that is located_in the liver.	http://purl.obolibrary.org/obo/DOID_3571	HP:0002896
interstitial lung disease	DOID:3082	A lung disease that is characterized by inflammation and altered lung interstitium compromising pulmonary function and often has_symptom shortness of breath, dyspnea, and/or cough.	http://purl.obolibrary.org/obo/DOID_3082	HP:0006530
keratoconjunctivitis sicca	DOID:12895	Dryness of the eye related to deficiency of the tear film components (aqueous, mucin, or lipid), lid surface abnormalities, or epithelial abnormalities. Keratoconjunctivitis sicca often results in a scratchy or sandy sensation (foreign body sensation) in the eyes, and may also be associated with itching, inability to produce tears, photosensitivity, redness, pain, and difficulty in moving the eyelids.	http://purl.obolibrary.org/obo/DOID_12895	HP:0001097
cardiovascular system disease	DOID:1287	A disease of anatomical entity which occurs in the blood, heart, blood vessels or the lymphatic system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells or lymph to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis.	http://purl.obolibrary.org/obo/DOID_1287	HP:0001626
healthy	NCIT:C115935	Having no significant health-related issues.	http://purl.obolibrary.org/obo/NCIT_C115935	HP:0032322
lung disease	DOID:850	A lower respiratory tract disease in which the function of the lungs is adversely affected by narrowing or blockage of the airways resulting in poor air flow, a loss of elasticity in the lungs that produces a decrease in the total volume of air that the lungs are able to hold, and clotting, scarring, or inflammation of the blood vessels that affect the ability of the lungs to take up oxygen and to release carbon dioxide.	http://purl.obolibrary.org/obo/DOID_850	HP:0002088
bullous skin disease	DOID:8502	A dermatitis that is characterized by blisters filled with a watery fluid, located_in skin. The disease is associated with the amount of gluten ingested.	http://purl.obolibrary.org/obo/DOID_8502	
polymyalgia rheumatica	DOID:853	A collagen disease that is characterized by pain, stiffness, and tenderness of the proximal muscle groups including the shoulder, pelvic girdle and the neck.	http://purl.obolibrary.org/obo/DOID_853	
gastroesophageal reflux disease	DOID:8534	gastroesophageal reflux disease	http://purl.obolibrary.org/obo/DOID_8534	HP:0002020
nervous system disease	DOID:863	A disease of anatomical entity that is located_in the central nervous system or located_in the peripheral nervous system.	http://purl.obolibrary.org/obo/DOID_863	
vasculitis	DOID:865	A vascular disease that is characterized by inflammation of the blood vessels.	http://purl.obolibrary.org/obo/DOID_865	HP:0002633
perinatal necrotizing enterocolitis	DOID:8677	perinatal necrotizing enterocolitis	http://purl.obolibrary.org/obo/DOID_8677	
Crohn's disease	DOID:8778	An intestinal disease that involves inflammation located_in intestine.	http://purl.obolibrary.org/obo/DOID_8778	HP:0100280
dermatophytosis	DOID:8913	A cutaneous mycosis that results_in fungal infection located_in scalp, located_in glabrous skin, or located_in nail, has_material_basis_in Ascomycota fungi that belong to a group called dermatophytes, which have the ability to utilize keratin as a nutrient source.	http://purl.obolibrary.org/obo/DOID_8913	
autoimmune thrombocytopenic purpura	DOID:8924	A primary thrombocytopenia that involves relatively few platelets in blood as a result of autoantibodies.	http://purl.obolibrary.org/obo/DOID_8924	HP:0001973
narcolepsy	DOID:8986	A sleep disorder that involves an excessive urge to sleep at inappropriate times, such as while at work.	http://purl.obolibrary.org/obo/DOID_8986	HP:0030050
choledochal cyst	DOID:899	choledochal cyst	http://purl.obolibrary.org/obo/DOID_899	HP:0100890
lichen planus	DOID:9201	A lichen disease that is located_in skin, located_in tongue or located_in oral mucosa, which presents itself in the form of papules, lesions or rashes.	http://purl.obolibrary.org/obo/DOID_9201	
diabetes mellitus	DOID:9351	A glucose metabolism disease characterized by chronic hyperglycaemia with disturbances of carbohydrate, fat and protein metabolism resulting from defects in insulin secretion, insulin action, or both.	http://purl.obolibrary.org/obo/DOID_9351	HP:0000819
neonatal candidiasis	DOID:9577	A candidiasis that involves fungal infection in neonates caused by Candida species. Low birthweight and age, prolonged intravascular catheterization and the use of antibiotic drugs are the principle predisposing conditions for systemic candidiasis in neonates.	http://purl.obolibrary.org/obo/DOID_9577	
Goodpasture syndrome	DOID:9808	An autoimmune disease that is characterized by antibody attack of the basement membrane in lungs and kidneys, leading to bleeding from the lungs and kidney failure.	http://purl.obolibrary.org/obo/DOID_9808	
congenital syphilis	DOID:9856	A syphilis that results_in a multisystem infection in the fetus via the placenta.	http://purl.obolibrary.org/obo/DOID_9856	
alopecia areata	DOID:986	An autoimmune disease resulting in the loss of hair on the scalp and elsewhere on the body initially causing bald spots.	http://purl.obolibrary.org/obo/DOID_986	HP:0002232
muscular dystrophy	DOID:9884	A myopathy is characterized by progressive skeletal muscle weakness degeneration.	http://purl.obolibrary.org/obo/DOID_9884	HP:0003560
obesity	DOID:9970	An overnutrition that is characterized by excess body fat, traditionally defined as an elevated ratio of weight to height (specifically 30 kilograms per meter squared), has_material_basis_in a multifactorial etiology related to excess nutrition intake, decreased caloric utilization, and genetic susceptibility, and possibly medications and certain disorders of metabolism, endocrine function, and mental illness.	http://purl.obolibrary.org/obo/DOID_9970	HP:0001513
hypoglycemia	DOID:9993	A glucose metabolism disease that is characterized by abnormally low levels of blood glucose.	http://purl.obolibrary.org/obo/DOID_9993	HP:0001943
placenta disease	DOID:780	A uterine disease that is located_in the placenta.	http://purl.obolibrary.org/obo/DOID_780	
Prenatal maternal abnormality	HP:0002686	Prenatal maternal abnormality	http://purl.obolibrary.org/obo/HP_0002686	HP:0002686
Neonatal Hypoxic Ischemic Encephalopathy	NCIT:C119751	Injury to the central nervous system in the newborn period that occurs when there is insufficient delivery of oxygen to all or part of the brain.	http://purl.obolibrary.org/obo/NCIT_C119751	
Blood Transfusion	NCIT:C15192	The injection of whole blood or a blood component directly into the bloodstream.	http://purl.obolibrary.org/obo/NCIT_C15192	
Reproductive Surgery	NCIT:C157970	A surgical procedure in the field of reproductive medicine.	http://purl.obolibrary.org/obo/NCIT_C157970	
Family Medical History	NCIT:C17726	A record of a patient's background regarding health and disease events of blood relatives. A patient's family medical history may be important in diagnosing existing conditions.	http://purl.obolibrary.org/obo/NCIT_C17726	
Helicobacter Pylori Infection	NCIT:C39293	A bacterial infection of the stomach, caused by Helicobacter pylori.  It is associated with the development of peptic ulcer and mucosa-associated lymphoid tissue lymphoma.	http://purl.obolibrary.org/obo/NCIT_C39293	HP:0005202
COVID-19	DOID:0080600	A Coronavirus infection that is characterized by fever, cough and shortness of breath and that has_material_basis_in SARS-CoV-2.	http://purl.obolibrary.org/obo/DOID_0080600	
disease of metabolism	DOID:0014667	A disease that involving errors in metabolic processes of building or degradation of molecules.	http://purl.obolibrary.org/obo/DOID_0014667	
Kidney Transplantation	NCIT:C15265	The transfer of a healthy kidney from a donor to a patient for the purpose of replacing one of the failing kidneys of the patient.	http://purl.obolibrary.org/obo/NCIT_C15265	
Liver Transplantation	NCIT:C15271	The transfer of a healthy liver allograft from a donor to a patient.	http://purl.obolibrary.org/obo/NCIT_C15271	
autoimmune peripheral neuropathy	DOID:0040087	An autoimmune disease of peripheral nervous system that results in peripheral neuropathy.	http://purl.obolibrary.org/obo/DOID_0040087	
Lung Transplantation	NCIT:C15274	The surgical transfer of one or both lungs from one individual to another.	http://purl.obolibrary.org/obo/NCIT_C15274	
autoimmune glomerulonephritis	DOID:0040094	An autoimmune disease of urogenital tract that is located_in the renal glomerulus.	http://purl.obolibrary.org/obo/DOID_0040094	
autoimmune cardiomyopathy	DOID:0040095	An autoimmune disease of cardiovascular system that is characterized by deterioration of the function of the heart muscle.	http://purl.obolibrary.org/obo/DOID_0040095	
disease by infectious agent	DOID:0050117	A disease that is the consequence of the presence of pathogenic microbial agents, including pathogenic viruses, pathogenic bacteria, fungi, protozoa, multicellular parasites, and aberrant proteins known as prions.	http://purl.obolibrary.org/obo/DOID_0050117	
Pancreatic Islet Transplantation	NCIT:C15352	The surgical transfer of pancreatic islet cells from one individual to another.	http://purl.obolibrary.org/obo/NCIT_C15352	
Pregnancy	NCIT:C25742	The state or condition of having a developing embryo or fetus in the body (uterus), after union of an ovum and spermatozoon, during the period from conception to birth.	http://purl.obolibrary.org/obo/NCIT_C25742	
Preterm Birth	NCIT:C92861	Birth when a fetus is less than 37 weeks and 0 days gestational age.	http://purl.obolibrary.org/obo/NCIT_C92861	
sinusitis	DOID:0050127	A paranasal sinus disease involving inflammation of the paranasal sinuses resulting from bacterial, fungal, viral infection, allergic or autoimmune issues. Symptoms can include fever, weakness, fatigue, cough and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.	http://purl.obolibrary.org/obo/DOID_0050127	HP:0000255
Streptococcal Pharyngitis	NCIT:C116003	Inflammation of the throat due to Streptococcus pyogenes.	http://purl.obolibrary.org/obo/NCIT_C116003	HP:0020096
idiopathic pulmonary fibrosis	DOID:0050156	A pulmonary fibrosis that is characterized by scarring of the lung.	http://purl.obolibrary.org/obo/DOID_0050156	
cutaneous lupus erythematosus	DOID:0050169	A lupus erythematosus that causes skin lesions on parts of the body that are exposed to sunlight.	http://purl.obolibrary.org/obo/DOID_0050169	
Lambert-Eaton myasthenic syndrome	DOID:0050214	A neuromuscular junction disease that is characterized by an abnormality of acetylcholine (ACh) release at the neuromuscular junction which results from an autoimmune attack against voltage-gated calcium channels (VGCC) on the presynaptic motor nerve terminal.	http://purl.obolibrary.org/obo/DOID_0050214	
Stevens-Johnson syndrome	DOID:0050426	A skin disease that is characterized by ulceration of less than 10 percent of the surface area of the body. The disease is often precipitated by the use of medications, such as antibiotics or antiepileptics, or onset of infection.	http://purl.obolibrary.org/obo/DOID_0050426	
congenital adrenal insufficiency	DOID:0050546	An adrenal gland disease that is characterized by cortisol deficiency, hypoaldosteronism and excessive or insufficient sex hormones, has_material_basis_in the mutation in the gene for 21-hydroxylase, 11beta-hydroxylase, 3beta-hydroxysteroid, 17alpha-hydroxylase or 20,22-desmolase.	http://purl.obolibrary.org/obo/DOID_0050546	
